domain,status,premium,reg_price,renew_price
  ✓ CHEAP: sus.skin reg=$1.54 renew=$12.98
  💰 PREMIUM: sus.surf reg=$44.19
sus.lol,UNAVAILABLE,0,1.54,26.26
sus.space,UNAVAILABLE,0,1.96,26.26
sus.pics,UNAVAILABLE,0,1.54,26.26
sus.quest,UNAVAILABLE,0,1.54,12.98
sus.mom,UNAVAILABLE,0,1.54,26.26
sus.beauty,AVAILABLE,0,1.54,12.98
sus.beer,AVAILABLE,1,44.19,27.82
sus.best,AVAILABLE,0,1.72,15.96
sus.click,AVAILABLE,1,382.61,546.35
sus.garden,AVAILABLE,0,1.54,26.26
sus.hair,AVAILABLE,0,1.54,12.98
sus.monster,AVAILABLE,0,1.54,12.98
sus.rest,UNAVAILABLE,0,1.54,26.26
sus.skin,AVAILABLE,0,1.54,12.98
sus.surf,AVAILABLE,1,44.19,27.82
chad.lol,UNAVAILABLE,0,1.54,26.26
chad.space,UNAVAILABLE,0,1.96,26.26
chad.pics,UNAVAILABLE,1,710.10,710.10
chad.quest,UNAVAILABLE,1,710.10,13.74
chad.mom,UNAVAILABLE,1,710.10,710.10
chad.beauty,UNAVAILABLE,1,710.10,710.10
chad.beer,UNAVAILABLE,0,1.54,26.26
chad.best,UNAVAILABLE,0,1.72,15.96
chad.click,UNAVAILABLE,0,1.54,10.81
chad.garden,UNAVAILABLE,0,1.54,26.26
chad.hair,UNAVAILABLE,1,710.10,710.10
chad.monster,UNAVAILABLE,0,1.54,12.98
chad.rest,UNAVAILABLE,0,1.54,26.26
chad.skin,UNAVAILABLE,1,710.10,710.10
chad.surf,UNAVAILABLE,0,1.54,26.26
  💰 PREMIUM: your.pics reg=$2183.84
  💰 PREMIUM: your.quest reg=$8733.79
  💰 PREMIUM: your.beauty reg=$8733.79
  💰 PREMIUM: your.garden reg=$2183.84
  💰 PREMIUM: your.hair reg=$8733.79
  💰 PREMIUM: your.monster reg=$218.86
  💰 PREMIUM: your.skin reg=$8733.79
